from_stop_id,to_stop_id,weight_seconds,type
1.9330,1.940,124,SW
1.9330,1.9331,15,TF
1.9330,E.1093301,60,PW
1.9330,E.93301,60,PW
1.940,1.9330,134,SW
1.940,1.941,94,SW
1.940,E.1094001,60,PW
1.940,E.94001,60,PW
1.940,E.94002,60,PW
1.941,1.940,92,SW
1.941,1.942,111,SW
1.941,E.94101,60,PW
1.942,1.140,45,TF
1.942,1.941,107,SW
1.942,1.943,95,SW
1.943,1.942,96,SW
1.943,1.944,99,SW
1.943,E.1094301,60,PW
1.943,E.1094302,60,PW
1.943,E.1094303,60,PW
1.943,E.94301,60,PW
1.944,1.943,99,SW
1.944,1.945,131,SW
1.944,E.1094401,60,PW
1.944,E.94401,60,PW
1.945,1.944,122,SW
1.945,E.1094501,60,PW
1.945,E.94501,60,PW
1.951,1.952,141,SW
1.951,E.95101,60,PW
1.951,E.95102,60,PW
1.951,E.95103,60,PW
1.952,1.951,127,SW
1.952,1.953,130,SW
1.952,E.95201,60,PW
1.952,E.95202,60,PW
1.952,E.95203,60,PW
1.953,1.952,111,SW
1.953,1.954,144,SW
1.953,E.95301,60,PW
1.953,E.95302,60,PW
1.953,E.95303,60,PW
1.954,1.953,122,SW
1.954,1.956,188,SW
1.954,E.95401,60,PW
1.954,E.95402,60,PW
1.954,E.95403,60,PW
1.956,1.954,172,SW
1.956,1.957,116,SW
1.956,E.1095601,60,PW
1.956,E.1095602,60,PW
1.956,E.95601,60,PW
1.956,E.95602,60,PW
1.957,1.956,94,SW
1.957,1.958,114,SW
1.957,E.1095701,60,PW
1.957,E.1095702,60,PW
1.957,E.95701,60,PW
1.957,E.95702,60,PW
1.958,1.957,93,SW
1.958,1.959,121,SW
1.958,E.1095801,60,PW
1.958,E.95801,60,PW
1.958,E.95802,60,PW
1.959,1.958,100,SW
1.959,1.9141,112,SW
1.959,E.1095901,60,PW
1.959,E.95901,60,PW
1.9141,1.9140,15,TF
1.9141,1.959,82,SW
1.9141,1.9151,112,SW
1.9141,E.1091401,60,PW
1.9141,E.91401,60,PW
1.9151,1.117,45,TF
1.9151,1.9150,15,TF
1.9151,1.9141,113,SW
1.9151,1.9161,100,SW
1.9161,1.515,120,TF
1.9161,1.9160,15,TF
1.9161,1.9151,170,SW
1.9161,E.1091601,60,PW
1.9161,E.91601,60,PW
1.9301,1.133,150,TF
1.9301,1.526,90,TF
1.9301,1.9300,15,TF
1.9301,1.9321,183,SW
1.9321,1.9320,15,TF
1.9321,1.9301,152,SW
1.9321,1.9331,149,SW
1.9321,E.1093201,60,PW
1.9321,E.93201,60,PW
1.9331,1.9330,15,TF
1.9331,1.9321,148,SW
1.9331,1.934,126,SW
1.9331,E.1093301,60,PW
1.9331,E.93301,60,PW
1.934,1.9331,135,SW
1.934,1.935,94,SW
1.934,E.1093402,60,PW
1.934,E.93401,60,PW
1.934,E.93402,60,PW
1.934,E.93403,60,PW
1.935,1.934,95,SW
1.935,1.936,129,SW
1.935,E.1093503,60,PW
1.935,E.93501,60,PW
1.935,E.93502,60,PW
1.935,E.93503,60,PW
1.935,E.93504,60,PW
1.936,1.225,45,TF
1.936,1.935,130,SW
1.936,E.1093601,60,PW
1.936,E.93601,60,PW
1.1136,1.339,120,TF
1.1136,1.434,120,TF
1.1136,1.1137,79,SW
1.1137,1.1136,81,SW
1.1137,1.1138,145,SW
1.1137,E.113701,60,PW
1.1138,1.1137,154,SW
1.1138,1.1139,98,SW
1.1138,E.1113801,60,PW
1.1138,E.1113811,60,PW
1.1138,E.113801,60,PW
1.1138,E.113811,60,PW
1.1139,1.1138,97,SW
1.1139,1.1140,84,SW
1.1139,E.1113901,60,PW
1.1139,E.113901,60,PW
1.1140,1.1139,73,SW
1.1140,E.1114001,60,PW
1.1140,E.114001,60,PW
1.1140,E.114011,60,PW
1.9901,1.210,60,TF
1.9901,1.323,60,TF
1.9901,1.9902,141,SW
1.9902,1.9901,141,SW
1.9902,E.990201,60,PW
E.1011101,1.111,60,PW
E.1011201,1.112,60,PW
E.1011403,1.114,60,PW
E.1011502,1.115,60,PW
E.1011601,1.116,60,PW
E.1011711,1.117,60,PW
E.1012101,1.121,60,PW
E.1012201,1.122,60,PW
E.1012301,1.123,60,PW
E.1012401,1.124,60,PW
E.1012602,1.126,60,PW
E.1012801,1.128,60,PW
E.1012901,1.129,60,PW
E.1013011,1.130,60,PW
E.1013101,1.131,60,PW
E.1013201,1.132,60,PW
E.1013301,1.133,60,PW
E.1013302,1.133,60,PW
E.1013311,1.133,60,PW
E.1013411,1.134,60,PW
E.1013501,1.135,60,PW
E.1013602,1.136,60,PW
E.1013702,1.137,60,PW
E.1013801,1.138,60,PW
E.1013901,1.139,60,PW
E.1014002,1.140,60,PW
E.1021002,1.210,60,PW
E.1021101,1.211,60,PW
E.1021201,1.212,60,PW
E.1021301,1.213,60,PW
E.1021402,1.214,60,PW
E.1021501,1.215,60,PW
E.1021601,1.216,60,PW
E.1021702,1.217,60,PW
E.1021801,1.218,60,PW
E.1021901,1.219,60,PW
E.1022001,1.220,60,PW
E.1022201,1.222,60,PW
E.1022301,1.223,60,PW
E.1022402,1.224,60,PW
E.1022502,1.225,60,PW
E.1022601,1.226,60,PW
E.1022701,1.227,60,PW
E.1022711,1.227,60,PW
E.1031501,1.315,60,PW
E.1031603,1.316,60,PW
E.1031701,1.317,60,PW
E.1031801,1.318,60,PW
E.1031901,1.319,60,PW
E.1032004,1.320,60,PW
E.1032101,1.321,60,PW
E.1032201,1.322,60,PW
E.1032401,1.324,60,PW
E.1032411,1.324,60,PW
E.1032521,1.325,60,PW
E.1032531,1.325,60,PW
E.1032603,1.326,60,PW
